TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
GSW,10/25/2016,GSW vs. SAS,L,241,100,-29
NYK,10/25/2016,NYK @ CLE,L,240,88,-29
CLE,10/25/2016,CLE vs. NYK,W,241,117,29
SAS,10/25/2016,SAS @ GSW,W,240,129,29
POR,10/25/2016,POR vs. UTA,W,239,113,9
UTA,10/25/2016,UTA @ POR,L,241,104,-9
TOR,10/26/2016,TOR vs. DET,W,240,109,18
DEN,10/26/2016,DEN @ NOP,W,240,107,5
MIA,10/26/2016,MIA @ ORL,W,241,108,12
PHX,10/26/2016,PHX vs. SAC,L,240,94,-19
ORL,10/26/2016,ORL vs. MIA,L,240,96,-12
PHI,10/26/2016,PHI vs. OKC,L,240,97,-4
LAL,10/26/2016,LAL vs. HOU,W,240,120,6
IND,10/26/2016,IND vs. DAL,W,265,130,9
MIL,10/26/2016,MIL vs. CHA,L,238,96,-11
MIN,10/26/2016,MIN @ MEM,L,239,98,-4
MEM,10/26/2016,MEM vs. MIN,W,241,102,4
BKN,10/26/2016,BKN @ BOS,L,240,117,-5
OKC,10/26/2016,OKC @ PHI,W,240,103,4
NOP,10/26/2016,NOP vs. DEN,L,241,102,-5
SAC,10/26/2016,SAC @ PHX,W,241,113,19
HOU,10/26/2016,HOU @ LAL,L,239,114,-6
BOS,10/26/2016,BOS vs. BKN,W,240,122,5
CHA,10/26/2016,CHA @ MIL,W,240,107,11
DAL,10/26/2016,DAL @ IND,L,265,121,-9
DET,10/26/2016,DET @ TOR,L,240,91,-18
SAC,10/27/2016,SAC vs. SAS,L,240,94,-8
SAS,10/27/2016,SAS @ SAC,W,240,102,8
BOS,10/27/2016,BOS @ CHI,L,240,99,-6
ATL,10/27/2016,ATL vs. WAS,W,240,114,15
LAC,10/27/2016,LAC @ POR,W,241,114,8
WAS,10/27/2016,WAS @ ATL,L,240,99,-15
POR,10/27/2016,POR vs. LAC,L,241,106,-8
CHI,10/27/2016,CHI vs. BOS,W,240,105,6
NOP,10/28/2016,NOP vs. GSW,L,241,114,-8
MIA,10/28/2016,MIA vs. CHA,L,240,91,-6
DET,10/28/2016,DET vs. ORL,W,239,108,26
TOR,10/28/2016,TOR vs. CLE,L,239,91,-3
UTA,10/28/2016,UTA vs. LAL,W,240,96,7
GSW,10/28/2016,GSW @ NOP,W,239,122,8
CLE,10/28/2016,CLE @ TOR,W,239,94,3
IND,10/28/2016,IND @ BKN,L,241,94,-9
PHX,10/28/2016,PHX @ OKC,L,264,110,-3
HOU,10/28/2016,HOU @ DAL,W,241,106,8
DAL,10/28/2016,DAL vs. HOU,L,238,98,-8
LAL,10/28/2016,LAL @ UTA,L,239,89,-7
CHA,10/28/2016,CHA @ MIA,W,238,97,6
ORL,10/28/2016,ORL @ DET,L,239,82,-26
BKN,10/28/2016,BKN vs. IND,W,240,103,9
OKC,10/28/2016,OKC vs. PHX,W,264,113,3
MEM,10/29/2016,MEM @ NYK,L,240,104,-7
NYK,10/29/2016,NYK vs. MEM,W,241,111,7
PHI,10/29/2016,PHI vs. ATL,L,239,72,-32
DEN,10/29/2016,DEN vs. POR,L,265,113,-2
CLE,10/29/2016,CLE vs. ORL,W,240,105,6
BKN,10/29/2016,BKN @ MIL,L,241,108,-2
ATL,10/29/2016,ATL @ PHI,W,239,104,32
CHI,10/29/2016,CHI vs. IND,W,241,118,17
BOS,10/29/2016,BOS @ CHA,W,241,104,6
SAS,10/29/2016,SAS vs. NOP,W,240,98,19
IND,10/29/2016,IND @ CHI,L,243,101,-17
