TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
CLE,04/15/2017,CLE vs. IND,W,240,109,1
MIL,04/15/2017,MIL @ TOR,W,240,97,14
MEM,04/15/2017,MEM @ SAS,L,241,82,-29
LAC,04/15/2017,LAC vs. UTA,L,241,95,-2
UTA,04/15/2017,UTA @ LAC,W,238,97,2
IND,04/15/2017,IND @ CLE,L,240,108,-1
TOR,04/15/2017,TOR vs. MIL,L,242,83,-14
SAS,04/15/2017,SAS vs. MEM,W,239,111,29
ATL,04/16/2017,ATL @ WAS,L,240,107,-7
BOS,04/16/2017,BOS vs. CHI,L,240,102,-4
GSW,04/16/2017,GSW vs. POR,W,239,121,12
OKC,04/16/2017,OKC @ HOU,L,240,87,-31
CHI,04/16/2017,CHI @ BOS,W,241,106,4
POR,04/16/2017,POR @ GSW,L,240,109,-12
WAS,04/16/2017,WAS vs. ATL,W,240,114,7
HOU,04/16/2017,HOU vs. OKC,W,241,118,31
CLE,04/17/2017,CLE vs. IND,W,239,117,6
SAS,04/17/2017,SAS vs. MEM,W,240,96,14
MEM,04/17/2017,MEM @ SAS,L,240,82,-14
IND,04/17/2017,IND @ CLE,L,239,111,-6
MIL,04/18/2017,MIL @ TOR,L,240,100,-6
LAC,04/18/2017,LAC vs. UTA,W,240,99,8
CHI,04/18/2017,CHI @ BOS,W,240,111,14
BOS,04/18/2017,BOS vs. CHI,L,242,97,-14
UTA,04/18/2017,UTA @ LAC,L,241,91,-8
TOR,04/18/2017,TOR vs. MIL,W,240,106,6
HOU,04/19/2017,HOU vs. OKC,W,239,115,4
WAS,04/19/2017,WAS vs. ATL,W,239,109,8
OKC,04/19/2017,OKC @ HOU,L,238,111,-4
ATL,04/19/2017,ATL @ WAS,L,240,101,-8
GSW,04/19/2017,GSW vs. POR,W,240,110,29
POR,04/19/2017,POR @ GSW,L,240,81,-29
SAS,04/20/2017,SAS @ MEM,L,238,94,-11
IND,04/20/2017,IND vs. CLE,L,241,114,-5
TOR,04/20/2017,TOR @ MIL,L,240,77,-27
MEM,04/20/2017,MEM vs. SAS,W,239,105,11
MIL,04/20/2017,MIL vs. TOR,W,240,104,27
CLE,04/20/2017,CLE @ IND,W,240,119,5
BOS,04/21/2017,BOS @ CHI,W,237,104,17
UTA,04/21/2017,UTA vs. LAC,L,239,106,-5
HOU,04/21/2017,HOU @ OKC,L,239,113,-2
CHI,04/21/2017,CHI vs. BOS,L,239,87,-17
