TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
ATL,10/27/2015,ATL vs. DET,L,239,94,-12
DET,10/27/2015,DET @ ATL,W,239,106,12
GSW,10/27/2015,GSW vs. NOP,W,241,111,16
CLE,10/27/2015,CLE @ CHI,L,240,95,-2
NOP,10/27/2015,NOP @ GSW,L,241,95,-16
CHI,10/27/2015,CHI vs. CLE,W,240,97,2
POR,10/28/2015,POR vs. NOP,W,240,112,18
LAC,10/28/2015,LAC @ SAC,W,240,111,7
CHA,10/28/2015,CHA @ MIA,L,240,94,-10
SAS,10/28/2015,SAS @ OKC,L,240,106,-6
DET,10/28/2015,DET vs. UTA,W,240,92,5
TOR,10/28/2015,TOR vs. IND,W,239,106,7
SAC,10/28/2015,SAC vs. LAC,L,240,104,-7
BKN,10/28/2015,BKN vs. CHI,L,238,100,-15
MIL,10/28/2015,MIL vs. NYK,L,240,97,-25
CLE,10/28/2015,CLE @ MEM,W,240,106,30
LAL,10/28/2015,LAL vs. MIN,L,240,111,-1
WAS,10/28/2015,WAS @ ORL,W,240,88,1
OKC,10/28/2015,OKC vs. SAS,W,241,112,6
CHI,10/28/2015,CHI @ BKN,W,239,115,15
IND,10/28/2015,IND @ TOR,L,241,99,-7
PHX,10/28/2015,PHX vs. DAL,L,238,95,-16
MIN,10/28/2015,MIN @ LAL,W,241,112,1
MIA,10/28/2015,MIA vs. CHA,W,239,104,10
HOU,10/28/2015,HOU vs. DEN,L,239,85,-20
BOS,10/28/2015,BOS vs. PHI,W,240,112,17
DAL,10/28/2015,DAL @ PHX,W,240,111,16
PHI,10/28/2015,PHI @ BOS,L,241,95,-17
ORL,10/28/2015,ORL vs. WAS,L,240,87,-1
DEN,10/28/2015,DEN @ HOU,W,241,105,20
NOP,10/28/2015,NOP @ POR,L,240,94,-18
UTA,10/28/2015,UTA @ DET,L,238,87,-5
NYK,10/28/2015,NYK @ MIL,W,240,122,25
MEM,10/28/2015,MEM vs. CLE,L,241,76,-30
DAL,10/29/2015,DAL @ LAC,L,238,88,-16
IND,10/29/2015,IND vs. MEM,L,240,103,-9
LAC,10/29/2015,LAC vs. DAL,W,240,104,16
MEM,10/29/2015,MEM @ IND,W,240,112,9
ATL,10/29/2015,ATL @ NYK,W,240,112,11
NYK,10/29/2015,NYK vs. ATL,L,239,101,-11
MIN,10/30/2015,MIN @ DEN,W,239,95,17
SAS,10/30/2015,SAS vs. BKN,W,242,102,27
CHI,10/30/2015,CHI @ DET,L,265,94,-4
WAS,10/30/2015,WAS @ MIL,W,239,118,5
BKN,10/30/2015,BKN @ SAS,L,238,75,-27
MIA,10/30/2015,MIA @ CLE,L,238,92,-10
UTA,10/30/2015,UTA @ PHI,W,241,99,28
MIL,10/30/2015,MIL vs. WAS,L,241,113,-5
SAC,10/30/2015,SAC vs. LAL,W,239,132,18
PHX,10/30/2015,PHX vs. POR,W,240,110,18
TOR,10/30/2015,TOR @ BOS,W,240,113,10
ORL,10/30/2015,ORL vs. OKC,L,290,136,-3
ATL,10/30/2015,ATL vs. CHA,W,241,97,3
CLE,10/30/2015,CLE vs. MIA,W,238,102,10
PHI,10/30/2015,PHI vs. UTA,L,238,71,-28
CHA,10/30/2015,CHA @ ATL,L,242,94,-3
BOS,10/30/2015,BOS vs. TOR,L,240,103,-10
GSW,10/30/2015,GSW @ HOU,W,239,112,20
