TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
GSW,10/17/2017,GSW vs. HOU,L,241,121,-1
HOU,10/17/2017,HOU @ GSW,W,239,122,1
BOS,10/17/2017,BOS @ CLE,L,241,99,-3
CLE,10/17/2017,CLE vs. BOS,W,239,102,3
ATL,10/18/2017,ATL @ DAL,W,241,117,6
DET,10/18/2017,DET vs. CHA,W,239,102,12
NOP,10/18/2017,NOP @ MEM,L,240,91,-12
SAC,10/18/2017,SAC vs. HOU,L,242,100,-5
HOU,10/18/2017,HOU @ SAC,W,240,105,5
IND,10/18/2017,IND vs. BKN,W,240,140,9
ORL,10/18/2017,ORL vs. MIA,W,240,116,7
MIN,10/18/2017,MIN @ SAS,L,240,99,-8
DAL,10/18/2017,DAL vs. ATL,L,240,111,-6
PHI,10/18/2017,PHI @ WAS,L,240,115,-5
MIA,10/18/2017,MIA @ ORL,L,240,109,-7
PHX,10/18/2017,PHX vs. POR,L,241,76,-48
WAS,10/18/2017,WAS vs. PHI,W,240,120,5
POR,10/18/2017,POR @ PHX,W,242,124,48
SAS,10/18/2017,SAS vs. MIN,W,240,107,8
CHA,10/18/2017,CHA @ DET,L,238,90,-12
MEM,10/18/2017,MEM vs. NOP,W,240,103,12
UTA,10/18/2017,UTA vs. DEN,W,241,106,10
BOS,10/18/2017,BOS vs. MIL,L,240,100,-8
DEN,10/18/2017,DEN @ UTA,L,242,96,-10
MIL,10/18/2017,MIL @ BOS,W,238,108,8
BKN,10/18/2017,BKN @ IND,L,241,131,-9
NYK,10/19/2017,NYK @ OKC,L,241,84,-21
TOR,10/19/2017,TOR vs. CHI,W,240,117,17
LAC,10/19/2017,LAC @ LAL,W,239,108,16
OKC,10/19/2017,OKC vs. NYK,W,242,105,21
LAL,10/19/2017,LAL vs. LAC,L,241,92,-16
CHI,10/19/2017,CHI @ TOR,L,240,100,-17
DAL,10/20/2017,DAL vs. SAC,L,240,88,-5
BKN,10/20/2017,BKN vs. ORL,W,241,126,5
MIN,10/20/2017,MIN vs. UTA,W,240,100,-1
NOP,10/20/2017,NOP vs. GSW,L,242,120,-8
WAS,10/20/2017,WAS vs. DET,W,241,115,4
LAL,10/20/2017,LAL @ PHX,W,239,132,2
CLE,10/20/2017,CLE @ MIL,W,239,116,20
ORL,10/20/2017,ORL @ BKN,L,240,121,-5
ATL,10/20/2017,ATL @ CHA,L,241,91,-22
MIL,10/20/2017,MIL vs. CLE,L,240,97,-19
CHA,10/20/2017,CHA vs. ATL,W,240,109,18
POR,10/20/2017,POR @ IND,W,240,114,18
PHI,10/20/2017,PHI vs. BOS,L,239,92,-10
BOS,10/20/2017,BOS @ PHI,W,240,102,10
IND,10/20/2017,IND vs. POR,L,240,96,-18
PHX,10/20/2017,PHX vs. LAL,L,239,130,-2
GSW,10/20/2017,GSW @ NOP,W,241,128,8
UTA,10/20/2017,UTA @ MIN,L,241,97,1
SAC,10/20/2017,SAC @ DAL,W,238,93,5
DET,10/20/2017,DET @ WAS,L,240,111,-4
HOU,10/21/2017,HOU vs. DAL,W,239,107,16
SAS,10/21/2017,SAS @ CHI,W,241,87,10
MIA,10/21/2017,MIA vs. IND,W,240,112,4
NYK,10/21/2017,NYK vs. DET,L,241,107,-4
PHX,10/21/2017,PHX @ LAC,L,241,88,-42
LAC,10/21/2017,LAC vs. PHX,W,241,130,42
UTA,10/21/2017,UTA vs. OKC,W,241,96,9
IND,10/21/2017,IND @ MIA,L,239,108,-4
CHI,10/21/2017,CHI vs. SAS,L,240,77,-10
DET,10/21/2017,DET @ NYK,W,239,111,4
SAC,10/21/2017,SAC @ DEN,L,241,79,-17
MEM,10/21/2017,MEM vs. GSW,W,240,111,10
TOR,10/21/2017,TOR vs. PHI,W,239,128,34
CLE,10/21/2017,CLE vs. ORL,L,241,93,-21
POR,10/21/2017,POR @ MIL,L,240,110,2
PHI,10/21/2017,PHI @ TOR,L,239,94,-34
DEN,10/21/2017,DEN vs. SAC,W,240,96,17
MIL,10/21/2017,MIL vs. POR,W,239,113,-2
GSW,10/21/2017,GSW @ MEM,L,238,101,-10
OKC,10/21/2017,OKC @ UTA,L,242,87,-9
ORL,10/21/2017,ORL @ CLE,W,238,114,21
DAL,10/21/2017,DAL @ HOU,L,241,91,-16
BKN,10/22/2017,BKN vs. ATL,W,240,116,12
ATL,10/22/2017,ATL @ BKN,L,239,104,-12
MIN,10/22/2017,MIN @ OKC,W,240,115,6.8
LAL,10/22/2017,LAL vs. NOP,L,240,112,-7
NOP,10/22/2017,NOP @ LAL,W,240,119,7
OKC,10/22/2017,OKC vs. MIN,L,239,113,-11.2
