PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Shaun Livingston,GSW,10/25/2016,GSW vs. SAS,L,13,2,-15
Sasha Vujacic,NYK,10/25/2016,NYK @ CLE,L,3,1,-5
Kevon Looney,GSW,10/25/2016,GSW vs. SAS,L,4,0,-6
Bryn Forbes,SAS,10/25/2016,SAS @ GSW,W,4,0,6
Draymond Green,GSW,10/25/2016,GSW vs. SAS,L,33,18,-5
Derrick Rose,NYK,10/25/2016,NYK @ CLE,L,30,17,-19
Kevin Love,CLE,10/25/2016,CLE vs. NYK,W,25,23,24
Lance Thomas,NYK,10/25/2016,NYK @ CLE,L,17,2,-11
Jeff Withey,UTA,10/25/2016,UTA @ POR,L,5,0,-11
Maurice Harkless,POR,10/25/2016,POR vs. UTA,W,22,0,-13
Justin Holiday,NYK,10/25/2016,NYK @ CLE,L,26,8,-14
Courtney Lee,NYK,10/25/2016,NYK @ CLE,L,20,0,-19
Tony Parker,SAS,10/25/2016,SAS @ GSW,W,26,9,-12
Trey Lyles,UTA,10/25/2016,UTA @ POR,L,18,5,-11
CJ McCollum,POR,10/25/2016,POR vs. UTA,W,35,25,12
Nicolas Laprovittola,SAS,10/25/2016,SAS @ GSW,W,4,0,6
Patty Mills,SAS,10/25/2016,SAS @ GSW,W,18,11,35
Zaza Pachulia,GSW,10/25/2016,GSW vs. SAS,L,20,2,-3
Mason Plumlee,POR,10/25/2016,POR vs. UTA,W,15,2,-7
Allen Crabbe,POR,10/25/2016,POR vs. UTA,W,29,18,14
Kristaps Porzingis,NYK,10/25/2016,NYK @ CLE,L,33,16,-21
Kyle O'Quinn,NYK,10/25/2016,NYK @ CLE,L,15,2,-10
Dante Exum,UTA,10/25/2016,UTA @ POR,L,8,5,-18
Patrick McCaw,GSW,10/25/2016,GSW vs. SAS,L,9,2,-4
LaMarcus Aldridge,SAS,10/25/2016,SAS @ GSW,W,35,26,10
Mindaugas Kuzminskas,NYK,10/25/2016,NYK @ CLE,L,9,7,-4
Joe Johnson,UTA,10/25/2016,UTA @ POR,L,31,29,-2
Evan Turner,POR,10/25/2016,POR vs. UTA,W,26,3,10
Willy Hernangomez,NYK,10/25/2016,NYK @ CLE,L,9,4,-3
Richard Jefferson,CLE,10/25/2016,CLE vs. NYK,W,26,13,18
Ian Clark,GSW,10/25/2016,GSW vs. SAS,L,13,5,-29
JR Smith,CLE,10/25/2016,CLE vs. NYK,W,25,8,13
Rudy Gobert,UTA,10/25/2016,UTA @ POR,L,41,12,7
Ed Davis,POR,10/25/2016,POR vs. UTA,W,24,6,21
Stephen Curry,GSW,10/25/2016,GSW vs. SAS,L,34,26,-9
Dewayne Dedmon,SAS,10/25/2016,SAS @ GSW,W,17,2,29
Kevin Durant,GSW,10/25/2016,GSW vs. SAS,L,37,27,-13
Brandon Jennings,NYK,10/25/2016,NYK @ CLE,L,21,7,-14
Pau Gasol,SAS,10/25/2016,SAS @ GSW,W,18,2,-13
Joe Ingles,UTA,10/25/2016,UTA @ POR,L,14,2,-9
Anderson Varejao,GSW,10/25/2016,GSW vs. SAS,L,3,1,-8
Shelvin Mack,UTA,10/25/2016,UTA @ POR,L,15,4,-9
Boris Diaw,UTA,10/25/2016,UTA @ POR,L,32,2,1
Damian Lillard,POR,10/25/2016,POR vs. UTA,W,35,39,1
Chris Andersen,CLE,10/25/2016,CLE vs. NYK,W,6,2,1
George Hill,UTA,10/25/2016,UTA @ POR,L,39,19,2
Kyrie Irving,CLE,10/25/2016,CLE vs. NYK,W,30,29,13
Kawhi Leonard,SAS,10/25/2016,SAS @ GSW,W,32,35,14
Joakim Noah,NYK,10/25/2016,NYK @ CLE,L,20,0,-1
Carmelo Anthony,NYK,10/25/2016,NYK @ CLE,L,30,19,-19
David West,GSW,10/25/2016,GSW vs. SAS,L,11,2,-13
LeBron James,CLE,10/25/2016,CLE vs. NYK,W,32,19,26
Manu Ginobili,SAS,10/25/2016,SAS @ GSW,W,21,10,22
James Jones,CLE,10/25/2016,CLE vs. NYK,W,6,5,1
JaVale McGee,GSW,10/25/2016,GSW vs. SAS,L,4,2,-6
Kyle Anderson,SAS,10/25/2016,SAS @ GSW,W,22,3,-4
Davis Bertans,SAS,10/25/2016,SAS @ GSW,W,4,5,6
Channing Frye,CLE,10/25/2016,CLE vs. NYK,W,14,6,7
Tristan Thompson,CLE,10/25/2016,CLE vs. NYK,W,22,0,16
Iman Shumpert,CLE,10/25/2016,CLE vs. NYK,W,14,2,-5
DeAndre Liggins,CLE,10/25/2016,CLE vs. NYK,W,12,4,11
Jonathon Simmons,SAS,10/25/2016,SAS @ GSW,W,28,20,33
Mike Dunleavy,CLE,10/25/2016,CLE vs. NYK,W,23,4,19
Al-Farouq Aminu,POR,10/25/2016,POR vs. UTA,W,28,9,0
Jordan McRae,CLE,10/25/2016,CLE vs. NYK,W,6,2,1
Andre Iguodala,GSW,10/25/2016,GSW vs. SAS,L,27,2,-28
David Lee,SAS,10/25/2016,SAS @ GSW,W,11,6,13
Klay Thompson,GSW,10/25/2016,GSW vs. SAS,L,33,11,-6
Rodney Hood,UTA,10/25/2016,UTA @ POR,L,38,26,5
Meyers Leonard,POR,10/25/2016,POR vs. UTA,W,9,0,-7
Ron Baker,NYK,10/25/2016,NYK @ CLE,L,7,5,-5
Noah Vonleh,POR,10/25/2016,POR vs. UTA,W,16,11,14
Wade Baldwin IV,MEM,10/26/2016,MEM vs. MIN,W,25,7,3
Marquese Chriss,PHX,10/26/2016,PHX vs. SAC,L,22,7,-10
DeMarre Carroll,TOR,10/26/2016,TOR vs. DET,W,29,8,21
Marcelo Huertas,LAL,10/26/2016,LAL vs. HOU,W,5,0,5
Semaj Christon,OKC,10/26/2016,OKC @ PHI,W,15,4,-10
E'Twaun Moore,NOP,10/26/2016,NOP vs. DEN,L,28,10,10
JaMychal Green,MEM,10/26/2016,MEM vs. MIN,W,29,12,4
Kyle Lowry,TOR,10/26/2016,TOR vs. DET,W,38,10,2
Pascal Siakam,TOR,10/26/2016,TOR vs. DET,W,22,4,16
Arron Afflalo,SAC,10/26/2016,SAC @ PHX,W,26,8,6
Jerami Grant,PHI,10/26/2016,PHI vs. OKC,L,22,10,1
Marc Gasol,MEM,10/26/2016,MEM vs. MIN,W,32,18,4
Tyler Ulis,PHX,10/26/2016,PHX vs. SAC,L,14,2,6
Zach LaVine,MIN,10/26/2016,MIN @ MEM,L,34,19,-4
Norman Powell,TOR,10/26/2016,TOR vs. DET,W,2,0,1
Jon Leuer,DET,10/26/2016,DET @ TOR,L,23,9,-12
Amir Johnson,BOS,10/26/2016,BOS vs. BKN,W,20,8,5
Lavoy Allen,IND,10/26/2016,IND vs. DAL,W,11,2,-5
Alex Abrines,OKC,10/26/2016,OKC @ PHI,W,13,3,3
Gerald Henderson,PHI,10/26/2016,PHI vs. OKC,L,25,9,-5
Thaddeus Young,IND,10/26/2016,IND vs. DAL,W,34,11,8
Nicolas Brussino,DAL,10/26/2016,DAL @ IND,L,1,0,0
Dante Cunningham,NOP,10/26/2016,NOP vs. DEN,L,8,0,1
DeMarcus Cousins,SAC,10/26/2016,SAC @ PHX,W,25,24,13
Justise Winslow,MIA,10/26/2016,MIA @ ORL,W,34,15,15
Evan Fournier,ORL,10/26/2016,ORL vs. MIA,L,39,20,-3
Nikola Vucevic,ORL,10/26/2016,ORL vs. MIA,L,36,17,0
Matthew Dellavedova,MIL,10/26/2016,MIL vs. CHA,L,29,11,-13
Kris Dunn,MIN,10/26/2016,MIN @ MEM,L,15,8,-6
Jakob Poeltl,TOR,10/26/2016,TOR vs. DET,W,13,2,-4
Steven Adams,OKC,10/26/2016,OKC @ PHI,W,36,16,11
DeMar DeRozan,TOR,10/26/2016,TOR vs. DET,W,34,40,21
Eric Gordon,HOU,10/26/2016,HOU @ LAL,L,34,19,-14
Roy Hibbert,CHA,10/26/2016,CHA @ MIL,W,32,15,12
Devin Booker,PHX,10/26/2016,PHX vs. SAC,L,25,18,-5
