PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Kent Bazemore,ATL,10/27/2015,ATL vs. DET,L,21,0,-17
Steve Blake,DET,10/27/2015,DET @ ATL,W,16,3,-14
Andre Drummond,DET,10/27/2015,DET @ ATL,W,37,18,23
Joakim Noah,CHI,10/27/2015,CHI vs. CLE,W,17,0,1
Anthony Davis,NOP,10/27/2015,NOP @ GSW,L,35,18,-16
Festus Ezeli,GSW,10/27/2015,GSW vs. NOP,W,17,13,-7
Nate Robinson,NOP,10/27/2015,NOP @ GSW,L,19,0,-21
Aron Baynes,DET,10/27/2015,DET @ ATL,W,11,6,-11
Jimmy Butler,CHI,10/27/2015,CHI vs. CLE,W,37,17,3
Mo Williams,CLE,10/27/2015,CLE @ CHI,L,37,19,5
Dennis Schroder,ATL,10/27/2015,ATL vs. DET,L,25,20,4
Reggie Jackson,DET,10/27/2015,DET @ ATL,W,32,15,26
Kevin Love,CLE,10/27/2015,CLE @ CHI,L,35,18,1
Klay Thompson,GSW,10/27/2015,GSW vs. NOP,W,26,9,4
LeBron James,CLE,10/27/2015,CLE @ CHI,L,36,25,1
Thabo Sefolosha,ATL,10/27/2015,ATL vs. DET,L,19,2,-1
Aaron Brooks,CHI,10/27/2015,CHI vs. CLE,W,16,6,3
Ish Smith,NOP,10/27/2015,NOP @ GSW,L,38,17,5
Jeff Teague,ATL,10/27/2015,ATL vs. DET,L,32,18,-23
James Jones,CLE,10/27/2015,CLE @ CHI,L,4,0,-7
Derrick Rose,CHI,10/27/2015,CHI vs. CLE,W,32,18,-1
Tristan Thompson,CLE,10/27/2015,CLE @ CHI,L,25,2,-6
Eric Gordon,NOP,10/27/2015,NOP @ GSW,L,33,14,-9
Marreese Speights,GSW,10/27/2015,GSW vs. NOP,W,11,9,2
Mike Scott,ATL,10/27/2015,ATL vs. DET,L,5,4,1
Marcus Morris,DET,10/27/2015,DET @ ATL,W,37,18,17
Andre Iguodala,GSW,10/27/2015,GSW vs. NOP,W,23,2,1
Nikola Mirotic,CHI,10/27/2015,CHI vs. CLE,W,25,19,9
Timofey Mozgov,CLE,10/27/2015,CLE @ CHI,L,21,5,-1
Dante Cunningham,NOP,10/27/2015,NOP @ GSW,L,27,13,-15
Jared Cunningham,CLE,10/27/2015,CLE @ CHI,L,3,0,-8
Brandon Rush,GSW,10/27/2015,GSW vs. NOP,W,2,0,3
E'Twaun Moore,CHI,10/27/2015,CHI vs. CLE,W,14,11,4
Stanley Johnson,DET,10/27/2015,DET @ ATL,W,24,7,-13
Richard Jefferson,CLE,10/27/2015,CLE @ CHI,L,17,10,-5
Harrison Barnes,GSW,10/27/2015,GSW vs. NOP,W,33,8,17
Tony Snell,CHI,10/27/2015,CHI vs. CLE,W,29,11,-1
Tiago Splitter,ATL,10/27/2015,ATL vs. DET,L,16,4,-3
Kyle Korver,ATL,10/27/2015,ATL vs. DET,L,29,7,-9
Stephen Curry,GSW,10/27/2015,GSW vs. NOP,W,36,40,12
Leandro Barbosa,GSW,10/27/2015,GSW vs. NOP,W,21,0,-3
Pau Gasol,CHI,10/27/2015,CHI vs. CLE,W,32,2,-8
Kentavious Caldwell-Pope,DET,10/27/2015,DET @ ATL,W,37,21,17
JR Smith,CLE,10/27/2015,CLE @ CHI,L,30,8,0
Mike Muscala,ATL,10/27/2015,ATL vs. DET,L,8,0,5
Al Horford,ATL,10/27/2015,ATL vs. DET,L,30,15,-5
Doug McDermott,CHI,10/27/2015,CHI vs. CLE,W,16,8,-2
Matthew Dellavedova,CLE,10/27/2015,CLE @ CHI,L,20,6,1
Kendrick Perkins,NOP,10/27/2015,NOP @ GSW,L,16,10,-12
Alonzo Gee,NOP,10/27/2015,NOP @ GSW,L,27,8,-8
Draymond Green,GSW,10/27/2015,GSW vs. NOP,W,29,10,20
Lamar Patterson,ATL,10/27/2015,ATL vs. DET,L,18,5,10
Alexis Ajinca,NOP,10/27/2015,NOP @ GSW,L,17,6,4
Ersan Ilyasova,DET,10/27/2015,DET @ ATL,W,34,16,20
Paul Millsap,ATL,10/27/2015,ATL vs. DET,L,36,19,-22
Taj Gibson,CHI,10/27/2015,CHI vs. CLE,W,22,5,2
Ryan Anderson,NOP,10/27/2015,NOP @ GSW,L,29,9,-8
Shaun Livingston,GSW,10/27/2015,GSW vs. NOP,W,21,6,12
Andrew Bogut,GSW,10/27/2015,GSW vs. NOP,W,19,12,17
James Michael McAdoo,GSW,10/27/2015,GSW vs. NOP,W,3,2,2
Anderson Varejao,CLE,10/27/2015,CLE @ CHI,L,12,2,9
Jodie Meeks,DET,10/27/2015,DET @ ATL,W,11,2,-5
Joe Young,IND,10/28/2015,IND @ TOR,L,2,0,-1
Tim Duncan,SAS,10/28/2015,SAS @ OKC,L,26,8,-6
Otto Porter Jr.,WAS,10/28/2015,WAS @ ORL,W,37,7,19
Kevin Durant,OKC,10/28/2015,OKC vs. SAS,W,35,22,0
Luis Scola,TOR,10/28/2015,TOR vs. IND,W,17,0,1
Marcin Gortat,WAS,10/28/2015,WAS @ ORL,W,36,10,14
Monta Ellis,IND,10/28/2015,IND @ TOR,L,29,9,-5
Nemanja Bjelica,MIN,10/28/2015,MIN @ LAL,W,23,8,6
Enes Kanter,OKC,10/28/2015,OKC vs. SAS,W,24,15,0
Rodney Hood,UTA,10/28/2015,UTA @ DET,L,29,12,7
Dion Waiters,OKC,10/28/2015,OKC vs. SAS,W,21,8,15
Ed Davis,POR,10/28/2015,POR vs. NOP,W,29,12,18
Kendrick Perkins,NOP,10/28/2015,NOP @ POR,L,9,4,-16
Andre Drummond,DET,10/28/2015,DET vs. UTA,W,36,18,14
Udonis Haslem,MIA,10/28/2015,MIA vs. CHA,W,11,6,1
Cory Joseph,TOR,10/28/2015,TOR vs. IND,W,28,3,-3
Ricky Rubio,MIN,10/28/2015,MIN @ LAL,W,32,28,12
Tony Snell,CHI,10/28/2015,CHI @ BKN,W,22,10,25
Christian Wood,PHI,10/28/2015,PHI @ BOS,L,6,0,-12
Victor Oladipo,ORL,10/28/2015,ORL vs. WAS,L,36,17,-10
Jrue Holiday,NOP,10/28/2015,NOP @ POR,L,21,12,-13
