Kevin Durant,GSW,10/17/2017,GSW vs. HOU,L,38,20,11
PJ Tucker,HOU,10/17/2017,HOU @ GSW,W,29,20,20
Kyrie Irving,BOS,10/17/2017,BOS @ CLE,L,39,22,-2
LeBron James,CLE,10/17/2017,CLE vs. BOS,W,41,29,3
Marcus Smart,BOS,10/17/2017,BOS @ CLE,L,35,12,-8
Draymond Green,GSW,10/17/2017,GSW vs. HOU,L,28,9,7
Eric Gordon,HOU,10/17/2017,HOU @ GSW,W,29,24,16
Kevon Looney,GSW,10/17/2017,GSW vs. HOU,L,8,1,-7
Stephen Curry,GSW,10/17/2017,GSW vs. HOU,L,30,22,9
Kevin Love,CLE,10/17/2017,CLE vs. BOS,W,28,15,0
Nick Young,GSW,10/17/2017,GSW vs. HOU,L,26,23,-10
Jayson Tatum,BOS,10/17/2017,BOS @ CLE,L,37,14,5
Patrick McCaw,GSW,10/17/2017,GSW vs. HOU,L,19,4,-9
Jeff Green,CLE,10/17/2017,CLE vs. BOS,W,14,6,-3
Klay Thompson,GSW,10/17/2017,GSW vs. HOU,L,38,16,0
Al Horford,BOS,10/17/2017,BOS @ CLE,L,32,9,8
Trevor Ariza,HOU,10/17/2017,HOU @ GSW,W,38,8,-8
Derrick Rose,CLE,10/17/2017,CLE vs. BOS,W,31,14,-7
Shaun Livingston,GSW,10/17/2017,GSW vs. HOU,L,19,6,-8
Jaylen Brown,BOS,10/17/2017,BOS @ CLE,L,40,25,-5
Jordan Bell,GSW,10/17/2017,GSW vs. HOU,L,12,8,-2
Omri Casspi,GSW,10/17/2017,GSW vs. HOU,L,4,2,-4
Aron Baynes,BOS,10/17/2017,BOS @ CLE,L,19,6,-14
Chris Paul,HOU,10/17/2017,HOU @ GSW,W,33,4,-13
Jae Crowder,CLE,10/17/2017,CLE vs. BOS,W,35,11,8
Iman Shumpert,CLE,10/17/2017,CLE vs. BOS,W,13,4,7
Dwyane Wade,CLE,10/17/2017,CLE vs. BOS,W,28,8,-2
Terry Rozier,BOS,10/17/2017,BOS @ CLE,L,20,9,5
Zaza Pachulia,GSW,10/17/2017,GSW vs. HOU,L,10,6,8
Luc Mbah a Moute,HOU,10/17/2017,HOU @ GSW,W,23,14,4
JR Smith,CLE,10/17/2017,CLE vs. BOS,W,22,10,7
Tristan Thompson,CLE,10/17/2017,CLE vs. BOS,W,20,5,3
Kyle Korver,CLE,10/17/2017,CLE vs. BOS,W,7,0,-1
Ryan Anderson,HOU,10/17/2017,HOU @ GSW,W,33,13,8
Clint Capela,HOU,10/17/2017,HOU @ GSW,W,18,12,-23
James Harden,HOU,10/17/2017,HOU @ GSW,W,36,27,1
Gordon Hayward,BOS,10/17/2017,BOS @ CLE,L,5,2,3
David West,GSW,10/17/2017,GSW vs. HOU,L,9,4,0
Shane Larkin,BOS,10/17/2017,BOS @ CLE,L,5,0,2
Semi Ojeleye,BOS,10/17/2017,BOS @ CLE,L,9,0,-9
Timofey Mozgov,BKN,10/18/2017,BKN @ IND,L,14,4,-11
Joffrey Lauvergne,SAS,10/18/2017,SAS vs. MIN,W,13,4,0
Damien Wilkins,IND,10/18/2017,IND vs. BKN,W,11,2,0
Daniel Theis,BOS,10/18/2017,BOS vs. MIL,L,5,6,2
D'Angelo Russell,BKN,10/18/2017,BKN @ IND,L,30,30,-5
John Wall,WAS,10/18/2017,WAS vs. PHI,W,37,28,19
Dwight Howard,CHA,10/18/2017,CHA @ DET,L,31,10,-3
Aron Baynes,BOS,10/18/2017,BOS vs. MIL,L,16,4,-7
Eric Moreland,DET,10/18/2017,DET vs. CHA,W,12,0,2
Wesley Matthews,DAL,10/18/2017,DAL vs. ATL,L,37,15,-1
