PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Norman Powell,TOR,04/15/2017,TOR vs. MIL,L,6,5,-2
Richard Jefferson,CLE,04/15/2017,CLE vs. IND,W,18,5,3
Kyle Lowry,TOR,04/15/2017,TOR vs. MIL,L,34,4,-22
JaMychal Green,MEM,04/15/2017,MEM @ SAS,L,15,3,8
Manu Ginobili,SAS,04/15/2017,SAS vs. MEM,W,13,0,18
Shelvin Mack,UTA,04/15/2017,UTA @ LAC,W,14,0,1
Blake Griffin,LAC,04/15/2017,LAC vs. UTA,L,43,26,-6
Deron Williams,CLE,04/15/2017,CLE vs. IND,W,10,5,-1
Monta Ellis,IND,04/15/2017,IND @ CLE,L,28,11,-9
Fred VanVleet,TOR,04/15/2017,TOR vs. MIL,L,2,0,4
Lavoy Allen,IND,04/15/2017,IND @ CLE,L,4,0,0
Boris Diaw,UTA,04/15/2017,UTA @ LAC,W,23,7,0
Jeff Withey,UTA,04/15/2017,UTA @ LAC,W,9,3,-2
Thon Maker,MIL,04/15/2017,MIL @ TOR,W,15,4,3
Tony Snell,MIL,04/15/2017,MIL @ TOR,W,24,11,18
Derrick Favors,UTA,04/15/2017,UTA @ LAC,W,32,15,0
George Hill,UTA,04/15/2017,UTA @ LAC,W,37,16,-3
Spencer Hawes,MIL,04/15/2017,MIL @ TOR,W,7,3,-4
Bryn Forbes,SAS,04/15/2017,SAS vs. MEM,W,9,5,0
Greg Monroe,MIL,04/15/2017,MIL @ TOR,W,26,14,15
Andrew Harrison,MEM,04/15/2017,MEM @ SAS,L,20,10,-19
Wade Baldwin IV,MEM,04/15/2017,MEM @ SAS,L,7,0,-3
DeMar DeRozan,TOR,04/15/2017,TOR vs. MIL,L,39,27,-16
Matthew Dellavedova,MIL,04/15/2017,MIL @ TOR,W,32,11,4
Rodney Hood,UTA,04/15/2017,UTA @ LAC,W,19,8,7
James Ennis III,MEM,04/15/2017,MEM @ SAS,L,20,2,-28
Pau Gasol,SAS,04/15/2017,SAS vs. MEM,W,25,6,22
Delon Wright,TOR,04/15/2017,TOR vs. MIL,L,2,0,4
PJ Tucker,TOR,04/15/2017,TOR vs. MIL,L,29,7,1
Kyle Anderson,SAS,04/15/2017,SAS vs. MEM,W,17,4,17
Tony Parker,SAS,04/15/2017,SAS vs. MEM,W,22,18,12
Gordon Hayward,UTA,04/15/2017,UTA @ LAC,W,40,19,7
JJ Redick,LAC,04/15/2017,LAC vs. UTA,L,27,7,-10
Kevin Seraphin,IND,04/15/2017,IND @ CLE,L,16,8,-8
DeMarre Carroll,TOR,04/15/2017,TOR vs. MIL,L,24,5,-15
