Team1,Team2
DAL,NOP
GSW,TOR
SDS,HOU
POR,UTA
OKC,RMD
CHA,DAL
ORL,MEM
DEN,TOR
CHI,MIL
PHX,SAS
PHI,BOS
HOU,NYK
LAC,GSW
NOP,IND
WAS,MIA
LAL,SAC
NYK,HOU
ORL,CLE
CLE,ORL
PHX,UTA
TOR,LAC
OKC,FCB
GSW,SAC
BOS,CHA
IND,CHI
CHI,IND
DET,BKN
SAC,GSW
CHA,BOS
ATL,MEM
PHI,WAS
DEN,LAL
POR,PHX
LAL,DEN
PHX,POR
BOS,CHA
CHA,BOS
DAL,MIL
MIL,DAL
NYK,BKN
SAS,ATL
CLE,PHI
MIN,MIA
PHI,CLE
DEN,LAL
HOU,NOP
NOP,HOU
LAC,UTA
UTA,LAC
DET,SAS
WAS,NYK
MAC,SAC
SAS,DET
CLE,ATL
NYK,WAS
MIA,BKN
POR,LAL
OKC,DAL
MEM,PHI
PHI,MEM
LAL,POR
BKN,MIA
ORL,SAS
DEN,MIN
UTA,PHX
HOU,NOP
SAS,ORL
MIL,IND
NOP,HOU
WAS,PHI
OKC,MEM
MEM,OKC
PHI,WAS
BKN,BOS
LAL,SAC
BOS,BKN
TOR,CLE
GSW,DEN
DEN,GSW
SAS,MIA
DAL,PHX
CLE,CHI
TOR,SLA
PHI,DET
WAS,SAC
MIL,CHI
GSW,LAL
MIN,MIA
SAC,WAS
BOS,NYK
HOU,MEM
DET,PHI
NYK,BOS
LAL,GSW
ORL,ATL
ATL,ORL
DET,MIL
BOS,BKN
BKN,BOS
MIL,DET
UTA,LAC
ATL,NOP
MIA,ORL
NOP,ATL
CLE,WAS
SAC,LAC
DEN,OKC
ORL,MIA
WAS,CLE
MIN,MEM
MIL,IND
UTA,POR
DAL,HOU
HOU,DAL
LAL,GSW
TOR,DET
GSW,LAL
CHI,ATL
NYK,BKN
NOP,ORL
ATL,CHI
BKN,NYK
POR,GSW
MIN,CHA
LAL,PHX
DAL,DEN
DEN,DAL
PHX,LAL
CHA,MIN
