Team1 v/s Team2,Game Number,W/L,Team1 strength,Team2 strength,Total Time 1,Total Time 2
5 v/s 13,0,W,1073.015838627202,1055.4969429049604,239.99999999999997,240.0
15 v/s 5,1,L,1095.5485284487345,1254.3613160008892,240.00000000000003,240.00000000000006
11 v/s 4,2,L,1068.8225818496276,1166.7899287878292,240.0,240.00000000000003
3 v/s 2,3,L,1093.1780527392978,1139.84477679118,239.99999999999997,240.00000000000006
14 v/s 4,4,L,982.560815447858,1088.9115394947562,240.0,239.99999999999997
2 v/s 16,5,W,1096.4544899335276,1085.1314718775636,240.00000000000003,239.99999999999994
6 v/s 15,6,L,1024.3713388161557,1097.019338620678,240.00000000000003,239.99999999999994
14 v/s 2,7,L,988.3096531053933,1138.486074887986,240.0,240.0
5 v/s 4,8,W,1023.3221366625263,996.0597104087286,239.99999999999997,240.0
9 v/s 12,9,W,983.8535933276319,825.3224869304414,240.0,240.00000000000003
10 v/s 5,10,L,1034.9847690559172,1202.728178034201,239.99999999999994,240.00000000000003
16 v/s 9,11,W,1032.6866056820604,945.572858847758,239.99999999999994,240.0
4 v/s 15,12,L,1078.795695176318,1154.509799844305,239.99999999999994,240.0
8 v/s 16,13,L,1055.3270876602476,1156.5918450743202,240.00000000000003,240.00000000000003
13 v/s 3,14,W,994.9847404720244,816.0550656085123,239.99999999999997,240.00000000000006
4 v/s 7,15,W,1002.2784856325582,859.6206081415539,239.99999999999997,239.99999999999997
9 v/s 7,16,W,1029.1128048283217,1027.2530726915147,240.0,239.99999999999997
8 v/s 14,17,W,1092.1302851545438,966.7069659356954,240.0,240.0
8 v/s 16,18,W,985.5775127656739,872.0557553162218,240.00000000000003,240.00000000000003
12 v/s 4,19,L,1036.7860390190042,1082.1148412748994,240.0,239.99999999999997
11 v/s 9,20,W,1095.3084210925485,1025.4256256924134,239.99999999999997,239.99999999999994
5 v/s 14,21,W,1157.1239138274505,1086.4778489217429,240.0,239.99999999999997
2 v/s 3,22,W,1096.8004613339401,926.8945026343738,239.99999999999994,240.0
8 v/s 3,23,L,1027.574022698596,1213.2879032148037,240.0,240.0
2 v/s 8,24,W,1139.1010446961564,1096.5519792989078,240.00000000000003,240.00000000000003
10 v/s 6,25,L,1053.9956047604765,1284.0899736822903,239.99999999999997,240.00000000000003
15 v/s 5,26,W,1037.060061494189,1028.8685111093912,240.00000000000003,239.99999999999997
3 v/s 5,27,L,1095.8699128440765,1200.690315183055,239.99999999999991,240.0
3 v/s 5,28,W,1047.8812642805271,898.5401232808329,240.00000000000006,240.00000000000003
5 v/s 11,29,L,1125.3063088360755,1321.228093315093,239.99999999999994,239.99999999999997
6 v/s 1,30,L,1007.0307980391517,1078.054097642966,239.99999999999994,240.0
14 v/s 1,31,W,1022.7193467169814,942.0640727415937,240.0,240.0
7 v/s 13,32,W,1064.9802396970006,933.598969932645,240.0,239.99999999999997
11 v/s 5,33,L,1014.3366102241816,1108.076546595792,240.0,239.99999999999997
5 v/s 9,34,L,1060.2092462637609,1085.7009776311477,240.0,240.0
1 v/s 6,35,W,1014.7577369016875,925.1345162130295,240.0,240.00000000000003
2 v/s 6,36,W,1100.6695104092832,1024.7158963585234,239.99999999999997,240.00000000000003
1 v/s 12,37,W,1060.2216856713449,943.4582245015919,240.0,240.0
13 v/s 8,38,L,1054.8520615047823,1139.6759433740565,239.99999999999997,240.0
7 v/s 4,39,W,1066.3732764844733,1030.960278807199,240.0,240.00000000000006
11 v/s 2,40,L,1058.6516581472583,1067.3080978113517,240.0,240.0
11 v/s 13,41,W,1044.5958523898578,995.3830030705201,239.99999999999997,240.0
1 v/s 5,42,L,1032.3801756497853,1161.0119823929776,240.0,240.00000000000003
13 v/s 3,43,L,1015.0273457295184,1058.8712917414255,239.99999999999997,240.00000000000003
8 v/s 14,44,L,962.9490604801504,1089.175764680963,240.0,239.99999999999997
4 v/s 8,45,W,1071.3963766677953,911.2161786375709,240.00000000000006,240.0
9 v/s 14,46,W,1023.8121410602967,896.3189095795874,240.0,239.99999999999997
8 v/s 15,47,W,1011.89874497782,976.448049274602,240.00000000000006,239.99999999999997
16 v/s 15,48,W,1069.851398082497,881.9315998988983,240.0,239.99999999999997
12 v/s 16,49,L,1027.6771418103592,1081.3329223406804,240.00000000000003,240.0
5 v/s 9,50,W,1088.8622525923224,897.8060082280745,240.00000000000006,240.00000000000003
8 v/s 1,51,L,1025.896222361026,1037.8252488973324,239.99999999999997,240.0
4 v/s 8,52,W,1026.1575964191654,1015.1369253535684,240.00000000000006,240.0
9 v/s 1,53,W,968.5659596043292,770.1612835613429,240.0,240.0
1 v/s 12,54,W,1057.8473439317038,966.34704125654,240.0,240.0
4 v/s 8,55,W,1027.4314798746473,974.7467700347792,240.0,240.0
6 v/s 2,56,L,1046.4993780599982,1203.1113948699306,239.99999999999994,240.00000000000006
8 v/s 14,57,W,1025.4463403771485,1011.9907341017846,240.0,240.00000000000003
14 v/s 8,58,L,1012.7681959396137,1099.8968460532437,239.99999999999997,240.00000000000003
1 v/s 13,59,L,1046.4321875985884,1209.9424902241558,240.00000000000003,240.0
3 v/s 11,60,L,1011.768004261504,1073.1258801883093,240.0,240.0
5 v/s 2,61,W,1118.7270143375158,1059.540867425469,240.0,240.0
11 v/s 12,62,W,1035.6626903196952,970.6929699888028,240.0,240.0
6 v/s 7,63,W,1059.291240958736,978.6685466204865,239.99999999999997,240.0
11 v/s 10,64,W,1109.1458575339861,942.8694452521505,240.0,240.00000000000003
8 v/s 1,65,L,1069.732700911736,1104.379751839135,240.0,240.0
12 v/s 6,66,L,1045.4606693213277,1109.680202171781,240.0,240.00000000000006
14 v/s 4,67,L,1002.6183044440214,1149.4272998094873,240.00000000000006,240.0
10 v/s 16,68,W,1046.7131122768872,834.0581258315909,239.99999999999994,240.00000000000006
6 v/s 5,69,L,1058.3734226557895,1135.2823180644743,239.99999999999997,240.00000000000003
6 v/s 8,70,W,1010.774262949084,951.8504945863854,239.99999999999997,239.99999999999997
10 v/s 8,71,W,1060.0700622511042,896.9464802531924,240.0,240.0
9 v/s 13,72,W,1047.496666146743,1025.8870299773066,240.0,240.00000000000006
6 v/s 15,73,W,1086.1698203904705,1012.90087782625,240.00000000000003,240.00000000000006
1 v/s 16,74,W,1039.9640035825792,995.9412893136767,239.99999999999997,240.00000000000003
