Team1 v/s Team2,Game Number,W/L,Team1 strength,Team2 strength,Total Time 1,Total Time 2
16 v/s 15,0,L,1056.9439535506863,1317.2926751875166,240.00000000000003,240.00000000000009
11 v/s 15,1,L,1064.1463432588969,1225.5552822023437,240.00000000000003,240.00000000000003
3 v/s 11,2,L,1085.226750566099,1112.9993629017663,240.0,240.00000000000003
2 v/s 14,3,W,1082.0922122544698,948.4933103321767,240.0,240.0
4 v/s 15,4,L,940.7211495571811,1390.153981442182,240.0,239.99999999999997
4 v/s 9,5,L,971.6244410935162,1134.9159346732238,240.0,239.99999999999997
3 v/s 16,6,W,1024.4717215015178,928.7942010252683,240.00000000000003,240.00000000000006
12 v/s 11,7,W,1083.8405645877165,1004.7021686979253,240.0,239.99999999999997
2 v/s 4,8,L,1125.9984360164206,1425.802457670866,239.99999999999997,240.0
16 v/s 6,9,W,1065.5304726854008,980.9708099562145,240.0,240.0
8 v/s 3,10,L,1121.3440799627572,1159.1973956093548,240.00000000000006,240.0
15 v/s 12,11,W,1137.9383268627262,1026.8505504283626,239.99999999999997,240.0
15 v/s 5,12,L,1050.5987216939434,1173.789044720282,240.00000000000006,240.0
3 v/s 1,13,L,1070.832206389549,1155.9192961307867,240.0,239.99999999999991
1 v/s 9,14,L,1061.8785217225443,1149.941837992663,240.00000000000003,240.0
1 v/s 9,15,L,1074.0525733711563,1089.978389760891,240.0,240.00000000000006
16 v/s 9,16,L,1014.9646753360453,1144.6380916284447,240.00000000000006,240.00000000000003
15 v/s 10,17,L,1090.7748043016534,1149.4690109997389,240.00000000000006,240.0
3 v/s 1,18,L,1077.490606894095,1192.637969698345,240.0,240.0
13 v/s 14,19,L,1041.6427023014824,1102.859502927799,240.0,240.0
14 v/s 13,20,W,1053.1740459319647,1001.1031404482259,240.00000000000003,240.0
2 v/s 9,21,W,1066.5143348524591,936.530123353145,240.00000000000006,240.0
1 v/s 12,22,L,1058.5303208735897,1258.8245612726575,239.99999999999997,240.00000000000003
14 v/s 8,23,L,1081.0316584231775,1171.8435717769876,239.99999999999994,240.0
6 v/s 4,24,L,1047.0642684064237,1315.6938995077985,240.00000000000003,240.0
6 v/s 12,25,W,1093.8515502369535,1051.1011140114495,240.0,239.99999999999997
6 v/s 12,26,L,1071.4650257197025,1224.7693390549625,240.00000000000006,240.0
14 v/s 1,27,L,1049.4681635576605,1161.839561677086,240.00000000000003,240.0
10 v/s 4,28,W,1024.289777800829,970.4766032287108,240.0,239.99999999999994
6 v/s 14,29,W,1085.6233094944612,975.8701174866557,240.0,240.00000000000003
11 v/s 15,30,L,1099.4226074725839,1388.0393947285893,240.00000000000003,240.0
8 v/s 11,31,L,1064.2307698543787,1236.143614961732,239.99999999999997,240.0
1 v/s 10,32,L,1121.9746778551842,1249.74882617512,240.00000000000003,240.00000000000003
8 v/s 9,33,L,1114.8989443553767,1145.0738718847942,239.99999999999997,240.00000000000003
2 v/s 11,34,L,1073.2726635922731,1088.2305967712662,240.0,240.0
1 v/s 11,35,L,1098.9015260588474,1135.6859075902737,240.0,240.0
8 v/s 9,36,L,1056.3236291968635,1230.2865211839862,239.99999999999994,240.0
7 v/s 1,37,L,1057.1708117539167,1181.4492379152337,239.99999999999994,240.0
13 v/s 14,38,W,1047.720490195419,937.0278966764405,239.99999999999994,240.0
3 v/s 11,39,L,1082.6467996933045,1212.2557302210473,239.99999999999997,239.99999999999997
12 v/s 16,40,W,1078.8587804392207,926.6989214565399,240.0,240.0
15 v/s 2,41,L,1114.6365218542917,1138.2989154728218,240.00000000000006,240.00000000000003
16 v/s 6,42,L,1056.7323784388025,1243.497973060317,240.00000000000003,240.0
9 v/s 6,43,L,983.7281781600686,1389.0937615204298,240.0,240.0
9 v/s 13,44,L,985.009409903963,1030.2427500243846,239.99999999999997,240.00000000000006
14 v/s 2,45,W,1029.5603653874764,925.8349250412095,239.99999999999997,239.99999999999991
1 v/s 10,46,W,1109.7259221996833,950.7648275083747,240.0,239.99999999999997
9 v/s 7,47,W,994.3485796649798,969.8534836135763,240.00000000000003,240.0
6 v/s 15,48,L,1052.0853730927074,1173.9966783857108,239.99999999999997,240.00000000000006
5 v/s 14,49,L,1080.7693194623503,1216.3993882690838,240.0,240.0
14 v/s 8,50,L,1077.621109146981,1275.4228109554813,240.0,240.0
7 v/s 16,51,L,1007.3486135326109,1059.467239997582,240.0,239.99999999999997
9 v/s 12,52,L,994.1704501056448,1178.4331656196491,240.00000000000003,239.99999999999997
4 v/s 12,53,W,1046.3122507600776,1030.2322766031446,240.0,240.0
11 v/s 6,54,W,1055.7066254729484,1000.118843598557,240.0,240.0
8 v/s 16,55,L,1047.9759477252144,1230.587124827637,240.0,239.99999999999994
2 v/s 11,56,L,1047.7380836656557,1196.1782510185237,240.0,240.0
3 v/s 7,57,W,1068.7440018313482,1019.5961958146771,240.00000000000003,239.99999999999997
14 v/s 10,58,W,1040.2607405549545,790.2572299158021,240.00000000000003,240.0
2 v/s 7,59,L,1125.78982669146,1173.9540918565085,239.99999999999997,240.00000000000003
8 v/s 12,60,W,1078.0013039077269,944.243917656767,240.0,239.99999999999997
6 v/s 7,61,W,1018.100648546097,1014.0916539541463,240.00000000000003,240.00000000000003
4 v/s 11,62,L,982.852529520954,1083.6717663280458,239.99999999999994,240.0
1 v/s 11,63,L,1062.2141324210763,1085.1231761093966,239.99999999999997,240.0
